episodes,rewards,reward_std,lengths,overall_win_rate,random_wr,weak_wr,strong_wr,self_wr,q_losses,actor_losses
9350.0,7.17,12.431,127.06,0.72,0.602,0.421,0.0,0.267,0.3300242330873114,0.3864977647810846
9400.0,6.264,11.548,127.88,0.64,0.602,0.423,0.0,0.265,0.33018109415191715,0.37725057938001694
9450.0,7.474,12.093,117.22,0.8,0.603,0.425,0.0,0.27,0.3273843268073741,0.3726295969604546
9500.0,3.707,15.393,135.48,0.58,0.603,0.426,0.0,0.269,0.3220361823947897,0.3600430946449095
9550.0,10.412,12.74,124.94,0.76,0.604,0.429,0.0,0.271,0.32519691757630464,0.35882326035979184
9600.0,5.923,13.845,136.62,0.62,0.603,0.431,0.0,0.273,0.31994870572476014,0.3615014941758819
9650.0,0.545,15.46,134.4,0.54,0.602,0.432,0.0,0.274,0.329278755449075,0.35902171856898035
9700.0,3.197,13.184,149.72,0.46,0.602,0.432,0.0,0.275,0.32274774285036273,0.3612913135374706
9750.0,0.962,14.528,131.28,0.48,0.601,0.433,0.0,0.276,0.32687439948329766,0.36528622214783474
9800.0,2.456,14.739,125.94,0.54,0.601,0.434,0.0,0.276,0.3276294239613012,0.36729895427105896
9850.0,6.153,13.472,112.3,0.74,0.602,0.436,0.0,0.276,0.3245059855729951,0.36285169953237206
9900.0,2.614,15.975,134.9,0.56,0.601,0.438,0.0,0.278,0.3303469750806385,0.3716644288918701
9950.0,4.072,14.361,135.0,0.58,0.6,0.439,0.0,0.279,0.33033471009141807,0.36408957190513985
10000.0,4.408,14.647,122.58,0.62,0.6,0.44,0.0,0.282,0.32647383035860483,0.36744766640668775
10050.0,8.161,13.544,123.82,0.7,0.6,0.442,0.0,0.281,0.3180027471098858,0.3653978895854185
10100.0,2.674,14.893,118.38,0.58,0.599,0.444,0.0,0.284,0.3169560442441625,0.35920651772180495
10150.0,6.969,13.75,126.88,0.68,0.599,0.447,0.0,0.284,0.3195177728568619,0.36752447627248086
10200.0,6.091,14.093,123.72,0.66,0.6,0.448,0.0,0.287,0.32596688010278985,0.37131720726132467
10250.0,3.538,15.207,133.38,0.56,0.599,0.449,0.0,0.286,0.3227836514239268,0.37118677040500514
10300.0,4.494,15.524,139.52,0.64,0.599,0.451,0.0,0.289,0.324078856949519,0.37201611202218393
10350.0,5.831,14.968,128.86,0.64,0.599,0.452,0.0,0.288,0.32098902338431967,0.3607325793653211
10400.0,7.36,14.613,134.88,0.62,0.599,0.453,0.0,0.29,0.3240172069152971,0.35411976228376424
10450.0,5.246,14.062,121.8,0.6,0.599,0.454,0.0,0.29,0.32442941075321563,0.3362747757089479
10500.0,1.475,17.108,139.3,0.5,0.598,0.455,0.0,0.291,0.3206898226077806,0.3385505170173786
10550.0,4.856,15.195,150.18,0.5,0.598,0.455,0.0,0.29,0.3208992500942096,0.3382434747379581
10600.0,2.463,17.644,160.2,0.4,0.597,0.454,0.0,0.29,0.31990774465210975,0.33744330354182556
10650.0,0.881,16.542,136.56,0.5,0.597,0.455,0.0,0.291,0.3204444051796665,0.3205309960699355
10700.0,6.831,15.362,162.92,0.46,0.596,0.455,0.0,0.291,0.3226088342796185,0.3218813453991108
10750.0,8.52,13.254,139.46,0.62,0.596,0.456,0.0,0.292,0.3169136478859473,0.32504277120655756
10800.0,8.18,14.166,131.54,0.64,0.597,0.458,0.0,0.295,0.31788868741368154,0.31350703047750766
10850.0,3.094,14.537,146.88,0.52,0.596,0.458,0.0,0.296,0.3161748396024722,0.3161028440960851
10900.0,6.415,13.899,140.96,0.58,0.596,0.459,0.0,0.296,0.32390715232451184,0.3167319815065659
10950.0,4.234,15.857,134.34,0.58,0.596,0.46,0.0,0.298,0.32081593522704144,0.3106021485559481
11000.0,6.441,15.032,124.88,0.64,0.596,0.461,0.0,0.3,0.3166367338982608,0.3216503256742648
11050.0,5.626,14.29,133.38,0.6,0.596,0.461,0.0,0.301,0.320304531481008,0.31138247228542487
11100.0,3.575,16.451,128.92,0.56,0.595,0.463,0.0,0.301,0.3176133630925584,0.3022349214930698
11150.0,-0.781,16.323,127.2,0.6,0.595,0.464,0.0,0.302,0.32148268605814145,0.28757617884872466
11200.0,1.332,16.846,121.64,0.52,0.594,0.465,0.0,0.303,0.32595439843737356,0.2775946479090339
